71

0|10|20|-1|1
1|10|25|0|2,3

1|10|25|0|2,3
2|15|25|1|4
3|15|30|1|9

2|15|25|1|4
4|20|25|2|5,6,7

3|15|30|1|9
9|20|25|3|10

4|20|25|2|5,6,7
5|20|25|4|8
6|20|25|4|8
7|20|25|4|11

9|20|25|3|10
10|20|25|9|11

5|20|25|4|8
8|20|25|5,6|11

6|20|25|4|8
8|20|25|5,6|11

10|20|25|9|11
11|20|25|7,8,10|12

8|20|25|5,6|11
11|20|25|7,8,10|12

7|20|25|4|11
11|20|25|7,8,10|12

11|20|25|7,8,10|12
12|50|25|11|13

12|50|25|11|13
13|50|25|12|14

13|50|25|12|14
14|50|25|13|15

14|50|25|13|15
15|50|25|14|16

15|50|25|14|16
16|50|25|15|17

16|50|25|15|17
17|50|25|16|18

17|50|25|16|18
18|50|25|17|19

18|50|25|17|19
19|50|25|18|20

19|50|25|18|20
20|50|25|19|21

20|50|25|19|21
21|50|25|20|22

21|50|25|20|22
22|50|25|21|23

22|50|25|21|23
23|50|25|22|24

23|50|25|22|24
24|50|25|23|25

24|50|25|23|25
25|50|25|24|26

25|50|25|24|26
26|50|25|25|27

26|50|25|25|27
27|50|25|26|28

27|50|25|26|28
28|50|25|27|29

28|50|25|27|29
29|50|25|28|30

29|50|25|28|30
30|50|25|29|31

30|50|25|29|31
31|50|25|30|32

31|50|25|30|32
32|50|25|31|33

32|50|25|31|33
33|50|25|32|34

33|50|25|32|34
34|50|25|33|35

34|50|25|33|35
35|50|25|34|36

35|50|25|34|36
36|50|25|35|37

36|50|25|35|37
37|50|25|36|38

37|50|25|36|38
38|50|25|37|39

38|50|25|37|39
39|50|25|38|40

39|50|25|38|40
40|50|25|39|41

40|50|25|39|41
41|50|25|40|42

41|50|25|40|42
42|50|25|41|43

42|50|25|41|43
43|50|25|42|44

43|50|25|42|44
44|50|25|43|45

44|50|25|43|45
45|50|25|44|46

45|50|25|44|46
46|50|25|45|47

46|50|25|45|47
47|50|25|46|48

47|50|25|46|48
48|50|25|47|49

48|50|25|47|49
49|50|25|48|50

49|50|25|48|50
50|50|25|49|51

50|50|25|49|51
51|50|25|50|52

51|50|25|50|52
52|50|25|51|53

52|50|25|51|53
53|50|25|52|54

53|50|25|52|54
54|50|25|53|55

54|50|25|53|55
55|50|25|54|56

55|50|25|54|56
56|50|25|55|57

56|50|25|55|57
57|50|25|56|58

57|50|25|56|58
58|50|25|57|59

58|50|25|57|59
59|50|25|58|60

59|50|25|58|60
60|50|25|59|61

60|50|25|59|61
61|50|25|60|62

61|50|25|60|62
62|50|25|61|63

62|50|25|61|63
63|50|25|62|64

63|50|25|62|64
64|50|25|63|65

64|50|25|63|65
65|50|25|64|66

65|50|25|64|66
66|50|25|65|67

66|50|25|65|67
67|50|25|66|68

67|50|25|66|68
68|50|25|67|69

68|50|25|67|69
69|50|25|68|70

69|50|25|68|70
70|50|25|69|-1
